Time Stamp,Time Zone,Fuel Category,Gen MW,,,,,
4/20/2019 1:15,EDT,Other Renewables,183,,,,,
4/20/2019 1:15,EDT,Wind,308,,,,,
4/20/2019 1:15,EDT,Hydro,2403,,,,,
4/20/2019 1:20,EDT,Dual Fuel,1322,,,,,
4/20/2019 1:20,EDT,Natural Gas,1435,,,,,
4/20/2019 1:20,EDT,Nuclear,4787,,,,,
4/20/2019 1:20,EDT,Other Fossil Fuels,147,,,,,
4/20/2019 1:20,EDT,Other Renewables,183,,,,,
4/20/2019 1:20,EDT,Wind,295,,,,,
4/20/2019 1:20,EDT,Hydro,2401,,,,,
4/20/2019 1:25,EDT,Dual Fuel,1320,,,,,
4/20/2019 1:25,EDT,Natural Gas,1435,,,,,
4/20/2019 1:25,EDT,Nuclear,4788,,,,,
4/20/2019 1:25,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 1:25,EDT,Other Renewables,186,,,,,
4/20/2019 1:25,EDT,Wind,290,,,,,
4/20/2019 1:25,EDT,Hydro,2390,,,,,
4/20/2019 1:30,EDT,Dual Fuel,1299,,,,,
4/20/2019 1:30,EDT,Natural Gas,1436,,,,,
4/20/2019 1:30,EDT,Nuclear,4788,,,,,
4/20/2019 1:30,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 1:30,EDT,Other Renewables,185,,,,,
4/20/2019 1:30,EDT,Wind,306,,,,,
4/20/2019 1:30,EDT,Hydro,2386,,,,,
4/20/2019 1:35,EDT,Dual Fuel,1290,,,,,
4/20/2019 1:35,EDT,Natural Gas,1431,,,,,
4/20/2019 1:35,EDT,Nuclear,4787,,,,,
4/20/2019 1:35,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 1:35,EDT,Other Renewables,184,,,,,
4/20/2019 1:35,EDT,Wind,287,,,,,
4/20/2019 1:35,EDT,Hydro,2386,,,,,
4/20/2019 1:40,EDT,Dual Fuel,1267,,,,,
4/20/2019 1:40,EDT,Natural Gas,1424,,,,,
4/20/2019 1:40,EDT,Nuclear,4786,,,,,
4/20/2019 1:40,EDT,Other Fossil Fuels,149,,,,,
4/20/2019 1:40,EDT,Other Renewables,185,,,,,
4/20/2019 1:40,EDT,Wind,257,,,,,
4/20/2019 1:40,EDT,Hydro,2386,,,,,
4/20/2019 1:45,EDT,Dual Fuel,1214,,,,,
4/20/2019 1:45,EDT,Natural Gas,1424,,,,,
4/20/2019 1:45,EDT,Nuclear,4788,,,,,
4/20/2019 1:45,EDT,Other Fossil Fuels,147,,,,,
4/20/2019 1:45,EDT,Other Renewables,184,,,,,
4/20/2019 1:45,EDT,Wind,260,,,,,
4/20/2019 1:45,EDT,Hydro,2410,,,,,
4/20/2019 1:50,EDT,Dual Fuel,1209,,,,,
4/20/2019 1:50,EDT,Natural Gas,1423,,,,,
4/20/2019 1:50,EDT,Nuclear,4787,,,,,
4/20/2019 1:50,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 1:50,EDT,Other Renewables,185,,,,,
4/20/2019 1:50,EDT,Wind,286,,,,,
4/20/2019 1:50,EDT,Hydro,2399,,,,,
4/20/2019 1:55,EDT,Dual Fuel,1180,,,,,
4/20/2019 1:55,EDT,Natural Gas,1424,,,,,
4/20/2019 1:55,EDT,Nuclear,4789,,,,,
4/20/2019 1:55,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 1:55,EDT,Other Renewables,185,,,,,
4/20/2019 1:55,EDT,Wind,298,,,,,
4/20/2019 1:55,EDT,Hydro,2399,,,,,
4/20/2019 2:00,EDT,Dual Fuel,1188,,,,,
4/20/2019 2:00,EDT,Natural Gas,1422,,,,,
4/20/2019 2:00,EDT,Nuclear,4789,,,,,
4/20/2019 2:00,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 2:00,EDT,Other Renewables,184,,,,,
4/20/2019 2:00,EDT,Wind,311,,,,,
4/20/2019 2:00,EDT,Hydro,2388,,,,,
4/20/2019 2:05,EDT,Dual Fuel,1209,,,,,
4/20/2019 2:05,EDT,Natural Gas,1427,,,,,
4/20/2019 2:05,EDT,Nuclear,4790,,,,,
4/20/2019 2:05,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 2:05,EDT,Other Renewables,183,,,,,
4/20/2019 2:05,EDT,Wind,309,,,,,
4/20/2019 2:05,EDT,Hydro,2393,,,,,
4/20/2019 2:10,EDT,Dual Fuel,1219,,,,,
4/20/2019 2:10,EDT,Natural Gas,1434,,,,,
4/20/2019 2:10,EDT,Nuclear,4789,,,,,
4/20/2019 2:10,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 2:10,EDT,Other Renewables,184,,,,,
4/20/2019 2:10,EDT,Wind,280,,,,,
4/20/2019 2:10,EDT,Hydro,2398,,,,,
4/20/2019 2:15,EDT,Dual Fuel,1212,,,,,
4/20/2019 2:15,EDT,Natural Gas,1436,,,,,
4/20/2019 2:15,EDT,Nuclear,4787,,,,,
4/20/2019 2:15,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 2:15,EDT,Other Renewables,183,,,,,
4/20/2019 2:15,EDT,Wind,255,,,,,
4/20/2019 2:15,EDT,Hydro,2395,,,,,
4/20/2019 2:20,EDT,Dual Fuel,1211,,,,,
4/20/2019 2:20,EDT,Natural Gas,1435,,,,,
4/20/2019 2:20,EDT,Nuclear,4788,,,,,
4/20/2019 2:20,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 2:20,EDT,Other Renewables,183,,,,,
4/20/2019 2:20,EDT,Wind,234,,,,,
4/20/2019 2:20,EDT,Hydro,2392,,,,,
4/20/2019 2:25,EDT,Dual Fuel,1209,,,,,
4/20/2019 2:25,EDT,Natural Gas,1432,,,,,
4/20/2019 2:25,EDT,Nuclear,4787,,,,,
4/20/2019 2:25,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 2:25,EDT,Other Renewables,183,,,,,
4/20/2019 2:25,EDT,Wind,214,,,,,
4/20/2019 2:25,EDT,Hydro,2394,,,,,
4/20/2019 2:30,EDT,Dual Fuel,1202,,,,,
4/20/2019 2:30,EDT,Natural Gas,1423,,,,,
4/20/2019 2:30,EDT,Nuclear,4789,,,,,
4/20/2019 2:30,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 2:30,EDT,Other Renewables,183,,,,,
4/20/2019 2:30,EDT,Wind,209,,,,,
4/20/2019 2:30,EDT,Hydro,2391,,,,,
4/20/2019 2:35,EDT,Dual Fuel,1184,,,,,
4/20/2019 2:35,EDT,Natural Gas,1423,,,,,
4/20/2019 2:35,EDT,Nuclear,4789,,,,,
4/20/2019 2:35,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 2:35,EDT,Other Renewables,181,,,,,
4/20/2019 2:35,EDT,Wind,220,,,,,
4/20/2019 2:35,EDT,Hydro,2396,,,,,
4/20/2019 2:40,EDT,Dual Fuel,1165,,,,,
4/20/2019 2:40,EDT,Natural Gas,1425,,,,,
4/20/2019 2:40,EDT,Nuclear,4789,,,,,
4/20/2019 2:40,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 2:40,EDT,Other Renewables,183,,,,,
4/20/2019 2:40,EDT,Wind,265,,,,,
4/20/2019 2:40,EDT,Hydro,2401,,,,,
4/20/2019 2:45,EDT,Dual Fuel,1166,,,,,
4/20/2019 2:45,EDT,Natural Gas,1424,,,,,
4/20/2019 2:45,EDT,Nuclear,4788,,,,,
4/20/2019 2:45,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 2:45,EDT,Other Renewables,183,,,,,
4/20/2019 2:45,EDT,Wind,289,,,,,
4/20/2019 2:45,EDT,Hydro,2401,,,,,
4/20/2019 2:50,EDT,Dual Fuel,1167,,,,,
4/20/2019 2:50,EDT,Natural Gas,1424,,,,,
4/20/2019 2:50,EDT,Nuclear,4789,,,,,
4/20/2019 2:50,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 2:50,EDT,Other Renewables,182,,,,,
4/20/2019 2:50,EDT,Wind,296,,,,,
4/20/2019 2:50,EDT,Hydro,2399,,,,,
4/20/2019 2:55,EDT,Dual Fuel,1157,,,,,
4/20/2019 2:55,EDT,Natural Gas,1424,,,,,
4/20/2019 2:55,EDT,Nuclear,4786,,,,,
4/20/2019 2:55,EDT,Other Fossil Fuels,147,,,,,
4/20/2019 2:55,EDT,Other Renewables,186,,,,,
4/20/2019 2:55,EDT,Wind,224,,,,,
4/20/2019 2:55,EDT,Hydro,2395,,,,,
4/20/2019 3:00,EDT,Dual Fuel,1166,,,,,
4/20/2019 3:00,EDT,Natural Gas,1424,,,,,
4/20/2019 3:00,EDT,Nuclear,4787,,,,,
4/20/2019 3:00,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 3:00,EDT,Other Renewables,185,,,,,
4/20/2019 3:00,EDT,Wind,185,,,,,
4/20/2019 3:00,EDT,Hydro,2392,,,,,
4/20/2019 3:05,EDT,Dual Fuel,1146,,,,,
4/20/2019 3:05,EDT,Natural Gas,1425,,,,,
4/20/2019 3:05,EDT,Nuclear,4790,,,,,
4/20/2019 3:05,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 3:05,EDT,Other Renewables,181,,,,,
4/20/2019 3:05,EDT,Wind,184,,,,,
4/20/2019 3:05,EDT,Hydro,2391,,,,,
4/20/2019 3:10,EDT,Dual Fuel,1141,,,,,
4/20/2019 3:10,EDT,Natural Gas,1428,,,,,
4/20/2019 3:10,EDT,Nuclear,4791,,,,,
4/20/2019 3:10,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 3:10,EDT,Other Renewables,184,,,,,
4/20/2019 3:10,EDT,Wind,189,,,,,
4/20/2019 3:10,EDT,Hydro,2403,,,,,
4/20/2019 3:15,EDT,Dual Fuel,1142,,,,,
4/20/2019 3:15,EDT,Natural Gas,1427,,,,,
4/20/2019 3:15,EDT,Nuclear,4787,,,,,
4/20/2019 3:15,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 3:15,EDT,Other Renewables,184,,,,,
4/20/2019 3:15,EDT,Wind,227,,,,,
4/20/2019 3:15,EDT,Hydro,2389,,,,,
4/20/2019 3:20,EDT,Dual Fuel,1124,,,,,
4/20/2019 3:20,EDT,Natural Gas,1429,,,,,
4/20/2019 3:20,EDT,Nuclear,4787,,,,,
4/20/2019 3:20,EDT,Other Fossil Fuels,147,,,,,
4/20/2019 3:20,EDT,Other Renewables,184,,,,,
4/20/2019 3:20,EDT,Wind,215,,,,,
4/20/2019 3:20,EDT,Hydro,2400,,,,,
4/20/2019 3:25,EDT,Dual Fuel,1099,,,,,
4/20/2019 3:25,EDT,Natural Gas,1429,,,,,
4/20/2019 3:25,EDT,Nuclear,4788,,,,,
4/20/2019 3:25,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 3:25,EDT,Other Renewables,182,,,,,
4/20/2019 3:25,EDT,Wind,190,,,,,
4/20/2019 3:25,EDT,Hydro,2396,,,,,
4/20/2019 3:30,EDT,Dual Fuel,1097,,,,,
4/20/2019 3:30,EDT,Natural Gas,1429,,,,,
4/20/2019 3:30,EDT,Nuclear,4790,,,,,
4/20/2019 3:30,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 3:30,EDT,Other Renewables,181,,,,,
4/20/2019 3:30,EDT,Wind,159,,,,,
4/20/2019 3:30,EDT,Hydro,2403,,,,,
4/20/2019 3:35,EDT,Dual Fuel,1073,,,,,
4/20/2019 3:35,EDT,Natural Gas,1427,,,,,
4/20/2019 3:35,EDT,Nuclear,4788,,,,,
4/20/2019 3:35,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 3:35,EDT,Other Renewables,182,,,,,
4/20/2019 3:35,EDT,Wind,161,,,,,
4/20/2019 3:35,EDT,Hydro,2416,,,,,
4/20/2019 3:40,EDT,Dual Fuel,1052,,,,,
4/20/2019 3:40,EDT,Natural Gas,1426,,,,,
4/20/2019 3:40,EDT,Nuclear,4789,,,,,
4/20/2019 3:40,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 3:40,EDT,Other Renewables,182,,,,,
4/20/2019 3:40,EDT,Wind,181,,,,,
4/20/2019 3:40,EDT,Hydro,2402,,,,,
4/20/2019 3:45,EDT,Dual Fuel,1038,,,,,
4/20/2019 3:45,EDT,Natural Gas,1426,,,,,
4/20/2019 3:45,EDT,Nuclear,4787,,,,,
4/20/2019 3:45,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 3:45,EDT,Other Renewables,182,,,,,
4/20/2019 3:45,EDT,Wind,213,,,,,
4/20/2019 3:45,EDT,Hydro,2400,,,,,
4/20/2019 3:50,EDT,Dual Fuel,1038,,,,,
4/20/2019 3:50,EDT,Natural Gas,1426,,,,,
4/20/2019 3:50,EDT,Nuclear,4788,,,,,
4/20/2019 3:50,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 3:50,EDT,Other Renewables,183,,,,,
4/20/2019 3:50,EDT,Wind,231,,,,,
4/20/2019 3:50,EDT,Hydro,2400,,,,,
4/20/2019 3:55,EDT,Dual Fuel,1038,,,,,
4/20/2019 3:55,EDT,Natural Gas,1426,,,,,
4/20/2019 3:55,EDT,Nuclear,4785,,,,,
4/20/2019 3:55,EDT,Other Fossil Fuels,147,,,,,
4/20/2019 3:55,EDT,Other Renewables,182,,,,,
4/20/2019 3:55,EDT,Wind,228,,,,,
4/20/2019 3:55,EDT,Hydro,2414,,,,,
4/20/2019 4:00,EDT,Dual Fuel,1042,,,,,
4/20/2019 4:00,EDT,Natural Gas,1429,,,,,
4/20/2019 4:00,EDT,Nuclear,4786,,,,,
4/20/2019 4:00,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 4:00,EDT,Other Renewables,182,,,,,
4/20/2019 4:00,EDT,Wind,164,,,,,
4/20/2019 4:00,EDT,Hydro,2511,,,,,
4/20/2019 4:05,EDT,Dual Fuel,1052,,,,,
4/20/2019 4:05,EDT,Natural Gas,1430,,,,,
4/20/2019 4:05,EDT,Nuclear,4786,,,,,
4/20/2019 4:05,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 4:05,EDT,Other Renewables,183,,,,,
4/20/2019 4:05,EDT,Wind,138,,,,,
4/20/2019 4:05,EDT,Hydro,2604,,,,,
4/20/2019 4:10,EDT,Dual Fuel,1038,,,,,
4/20/2019 4:10,EDT,Natural Gas,1431,,,,,
4/20/2019 4:10,EDT,Nuclear,4787,,,,,
4/20/2019 4:10,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 4:10,EDT,Other Renewables,184,,,,,
4/20/2019 4:10,EDT,Wind,148,,,,,
4/20/2019 4:10,EDT,Hydro,2617,,,,,
4/20/2019 4:15,EDT,Dual Fuel,1041,,,,,
4/20/2019 4:15,EDT,Natural Gas,1430,,,,,
4/20/2019 4:15,EDT,Nuclear,4787,,,,,
4/20/2019 4:15,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 4:15,EDT,Other Renewables,183,,,,,
4/20/2019 4:15,EDT,Wind,195,,,,,
4/20/2019 4:15,EDT,Hydro,2630,,,,,
4/20/2019 4:20,EDT,Dual Fuel,1041,,,,,
4/20/2019 4:20,EDT,Natural Gas,1431,,,,,
4/20/2019 4:20,EDT,Nuclear,4788,,,,,
4/20/2019 4:20,EDT,Other Fossil Fuels,149,,,,,
4/20/2019 4:20,EDT,Other Renewables,184,,,,,
4/20/2019 4:20,EDT,Wind,218,,,,,
4/20/2019 4:20,EDT,Hydro,2624,,,,,
4/20/2019 4:25,EDT,Dual Fuel,1041,,,,,
4/20/2019 4:25,EDT,Natural Gas,1433,,,,,
4/20/2019 4:25,EDT,Nuclear,4786,,,,,
4/20/2019 4:25,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 4:25,EDT,Other Renewables,183,,,,,
4/20/2019 4:25,EDT,Wind,229,,,,,
4/20/2019 4:25,EDT,Hydro,2639,,,,,
4/20/2019 4:30,EDT,Dual Fuel,1045,,,,,
4/20/2019 4:30,EDT,Natural Gas,1433,,,,,
4/20/2019 4:30,EDT,Nuclear,4785,,,,,
4/20/2019 4:30,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 4:30,EDT,Other Renewables,184,,,,,
4/20/2019 4:30,EDT,Wind,227,,,,,
4/20/2019 4:30,EDT,Hydro,2675,,,,,
4/20/2019 4:35,EDT,Dual Fuel,1048,,,,,
4/20/2019 4:35,EDT,Natural Gas,1433,,,,,
4/20/2019 4:35,EDT,Nuclear,4786,,,,,
4/20/2019 4:35,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 4:35,EDT,Other Renewables,186,,,,,
4/20/2019 4:35,EDT,Wind,206,,,,,
4/20/2019 4:35,EDT,Hydro,2666,,,,,
4/20/2019 4:40,EDT,Dual Fuel,1050,,,,,
4/20/2019 4:40,EDT,Natural Gas,1432,,,,,
4/20/2019 4:40,EDT,Nuclear,4786,,,,,
4/20/2019 4:40,EDT,Other Fossil Fuels,149,,,,,
4/20/2019 4:40,EDT,Other Renewables,185,,,,,
4/20/2019 4:40,EDT,Wind,217,,,,,
4/20/2019 4:40,EDT,Hydro,2648,,,,,
4/20/2019 4:45,EDT,Dual Fuel,1047,,,,,
4/20/2019 4:45,EDT,Natural Gas,1434,,,,,
4/20/2019 4:45,EDT,Nuclear,4786,,,,,
4/20/2019 4:45,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 4:45,EDT,Other Renewables,184,,,,,
4/20/2019 4:45,EDT,Wind,239,,,,,
4/20/2019 4:45,EDT,Hydro,2649,,,,,
4/20/2019 4:50,EDT,Dual Fuel,1050,,,,,
4/20/2019 4:50,EDT,Natural Gas,1433,,,,,
4/20/2019 4:50,EDT,Nuclear,4786,,,,,
4/20/2019 4:50,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 4:50,EDT,Other Renewables,184,,,,,
4/20/2019 4:50,EDT,Wind,256,,,,,
4/20/2019 4:50,EDT,Hydro,2632,,,,,
4/20/2019 4:55,EDT,Dual Fuel,1056,,,,,
4/20/2019 4:55,EDT,Natural Gas,1434,,,,,
4/20/2019 4:55,EDT,Nuclear,4786,,,,,
4/20/2019 4:55,EDT,Other Fossil Fuels,147,,,,,
4/20/2019 4:55,EDT,Other Renewables,183,,,,,
4/20/2019 4:55,EDT,Wind,275,,,,,
4/20/2019 4:55,EDT,Hydro,2652,,,,,
4/20/2019 5:00,EDT,Dual Fuel,1058,,,,,
4/20/2019 5:00,EDT,Natural Gas,1433,,,,,
4/20/2019 5:00,EDT,Nuclear,4785,,,,,
4/20/2019 5:00,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 5:00,EDT,Other Renewables,183,,,,,
4/20/2019 5:00,EDT,Wind,303,,,,,
4/20/2019 5:00,EDT,Hydro,2603,,,,,
4/20/2019 5:05,EDT,Dual Fuel,1062,,,,,
4/20/2019 5:05,EDT,Natural Gas,1432,,,,,
4/20/2019 5:05,EDT,Nuclear,4786,,,,,
4/20/2019 5:05,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 5:05,EDT,Other Renewables,182,,,,,
4/20/2019 5:05,EDT,Wind,319,,,,,
4/20/2019 5:05,EDT,Hydro,2603,,,,,
4/20/2019 5:10,EDT,Dual Fuel,1083,,,,,
4/20/2019 5:10,EDT,Natural Gas,1430,,,,,
4/20/2019 5:10,EDT,Nuclear,4787,,,,,
4/20/2019 5:10,EDT,Other Fossil Fuels,147,,,,,
4/20/2019 5:10,EDT,Other Renewables,181,,,,,
4/20/2019 5:10,EDT,Wind,348,,,,,
4/20/2019 5:10,EDT,Hydro,2647,,,,,
4/20/2019 5:15,EDT,Dual Fuel,1093,,,,,
4/20/2019 5:15,EDT,Natural Gas,1431,,,,,
4/20/2019 5:15,EDT,Nuclear,4786,,,,,
4/20/2019 5:15,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 5:15,EDT,Other Renewables,183,,,,,
4/20/2019 5:15,EDT,Wind,364,,,,,
4/20/2019 5:15,EDT,Hydro,2623,,,,,
4/20/2019 5:20,EDT,Dual Fuel,1089,,,,,
4/20/2019 5:20,EDT,Natural Gas,1427,,,,,
4/20/2019 5:20,EDT,Nuclear,4784,,,,,
4/20/2019 5:20,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 5:20,EDT,Other Renewables,184,,,,,
4/20/2019 5:20,EDT,Wind,352,,,,,
4/20/2019 5:20,EDT,Hydro,2624,,,,,
4/20/2019 5:25,EDT,Dual Fuel,1092,,,,,
4/20/2019 5:25,EDT,Natural Gas,1426,,,,,
4/20/2019 5:25,EDT,Nuclear,4786,,,,,
4/20/2019 5:25,EDT,Other Fossil Fuels,148,,,,,
4/20/2019 5:25,EDT,Other Renewables,183,,,,,
4/20/2019 5:25,EDT,Wind,370,,,,,
4/20/2019 5:25,EDT,Hydro,2613,,,,,
4/20/2019 5:30,EDT,Dual Fuel,1078,,,,,
4/20/2019 5:30,EDT,Natural Gas,1428,,,,,
4/20/2019 5:30,EDT,Nuclear,4787,,,,,
4/20/2019 5:30,EDT,Other Fossil Fuels,149,,,,,
4/20/2019 5:30,EDT,Other Renewables,184,,,,,
4/20/2019 5:30,EDT,Wind,397,,,,,
4/20/2019 5:30,EDT,Hydro,2575,,,,,
4/20/2019 5:35,EDT,Dual Fuel,1071,,,,,
4/20/2019 5:35,EDT,Natural Gas,1427,,,,,
4/20/2019 5:35,EDT,Nuclear,4785,,,,,
4/20/2019 5:35,EDT,Other Fossil Fuels,147,,,,,
4/20/2019 5:35,EDT,Other Renewables,182,,,,,
4/20/2019 5:35,EDT,Wind,387,,,,,
4/20/2019 5:35,EDT,Hydro,2581,,,,,
4/20/2019 5:40,EDT,Dual Fuel,1081,,,,,
